鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯
"新竹市","土地","北門段1294地號","8.17","都市：其他:道路用地","","","1131105","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","547800","67050","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","土地","仙水段361-1地號","0.04","都市：其他:道路用地","","","1131106","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","7439","0","","0","0","親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；","0","0","0","無"
"新竹市","土地","光華段922-1地號","1.47","都市：其他:道路用地","","","1131108","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","75093","51084","","0","0","","0","0","0","無"
"新竹市","土地","民富段1304-4地號","99.8","都市：其他:道路用地","","","1131101","土地3建物0車位0","","","其他","","","","0","0","0","0","無","無","6360000","63727","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","房地(土地+建物)","新竹市新竹市寶山路７７號","85.24","住","","","1131102","土地1建物1車位0","全","二層","透天厝","","加強磚造","0600303","138.46","4","2","2","有","無","16000000","115557","","0","0","未登記建物；","138.46","0","0","無"
"新竹市","房地(土地+建物)+車位","新竹市新竹市關新東路１０８號八樓","24.77","住","","","1131101","土地2建物1車位1","八層","九層","華廈(10層含以下有AE-)","辦公用","鋼筋混凝土造","1030312","103.98","2","2","2","有","有","19500000","195341","坡道機械","8.25","800000","陽臺外推；夾層；","39.31","8.8","5.1","有"
"新竹市","房地(土地+建物)","新竹市新竹市林森路２０３號８樓之３","3.23","商","","","1131105","土地1建物1車位0","八層","十二層","住宅大樓(11層含以上有AE-)","商業用","鋼筋混凝土造","0801111","37.41","1","1","1","有","有","2500000","66827","","0","0","","25.03","0","2.14","有"
"新竹市","土地","自由段1000-2地號","14","","","","1131107","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","753200","53800","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","土地","樹下段1215-1地號","130.31","","特定農業區","農牧用地","1131108","土地2建物0車位0","","","其他","","","","0","0","0","0","無","無","2298668","17640","","0","0","政府機關標讓售；","0","0","0","無"
"新竹市","土地","中華段870地號","172.76","都市：其他:道路用地","","","1131112","土地3建物0車位0","","","其他","","","","0","0","0","0","無","無","21945288","127028","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","土地","西濱段693地號","154.77","都市：其他:道路用地","","","1131112","土地5建物0車位0","","","其他","","","","0","0","0","0","無","無","10812832","69864","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","房地(土地+建物)+車位","新竹市新竹市東大路一段１５０號十一樓之２","32.01","住","","","1131101","土地1建物1車位1","十一層","十三層","住宅大樓(11層含以上有AE-)","住家用","鋼筋混凝土造","1120322","203.24","1","1","2","有","有","34500000","169750","坡道平面","45.01","0","","87.74","0","11.72","有"
"新竹市","房地(土地+建物)+車位","新竹市新竹市東大路一段５２巷１之２號８樓","11.56","住","","","1131103","土地1建物1車位1","八層","十二層","住宅大樓(11層含以上有AE-)","住家用","鋼筋混凝土造","0850830","107.63","3","2","2","有","有","11800000","109635","坡道機械","0","0","","54.83","0","10.08","有"
"新竹市","土地","介壽段737-1地號","24.41","都市：其他:道路用地","","","1131120","土地3建物0車位0","","","其他","","","","0","0","0","0","無","無","5740655","235176","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","土地","雅溪段209地號","70.69","都市：其他:道路用地","","","1131120","土地2建物0車位0","","","其他","","","","0","0","0","0","無","無","3341098","47264","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","土地","民富段2652地號","0.96","都市：其他:道路用地","","","1131120","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","100000","0","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","土地","古峰段659-2地號","1096.88","都市：其他:甲之四種風景區","","","1131101","土地16建物0車位0","","","其他","","","","0","0","0","0","無","無","14024200","12786","","0","0","","0","0","0","無"
"新竹市","土地","朝山段630-1地號","95.22","住","","","1131101","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","8582400","90132","","0","0","","0","0","0","無"
"新竹市","土地","和平段1048地號","124.38","都市：其他:道路用地","","","1131120","土地8建物0車位0","","","其他","","","","0","0","0","0","無","無","7523687","60490","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","土地","舊社段11-63地號","18.41","都市：其他:園道用地","","","1131119","土地6建物0車位0","","","其他","","","","0","0","0","0","無","無","1360000","73873","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","房地(土地+建物)","新竹市新竹市明湖路７５１號地下四層之６","14.1","都市：其他:甲之三種風景區","","","1131103","土地1建物1車位0","地下四層","四層","華廈(10層含以下有AE-)","住家用","鋼筋混凝土造","0940220","50.46","1","1","1","有","有","4300000","85216","","0","0","","32.59","0","0","有"
"新竹市","土地","古峰段659-2地號","1100.63","都市：其他:甲之四種風景區","","","1131108","土地22建物0車位0","","","其他","","","","0","0","0","0","無","無","14005800","12725","","0","0","","0","0","0","無"
"新竹市","土地","南湖段74-2地號","69.87","","鄉村區","乙種建築用地","1131118","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","2500000","35781","","0","0","","0","0","0","無"
"新竹市","土地","和平段57地號","74.51","都市：其他:道路用地","","","1131104","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","3274671","43949","","0","0","包含公共設施保留地用地；","0","0","0","無"
"新竹市","房地(土地+建物)","新竹市新竹市至善街３５巷６號","13.41","","山坡地保育區","丙種建築用地","1131114","土地2建物1車位0","一層","八層","華廈(10層含以下有AE-)","住家用","鋼筋混凝土造","0861111","42.8","1","1","1","有","有","700000","16355","","0","0","含土地增值稅或其他稅費20990元；","22.32","0","3.6","有"
"新竹市","土地","水源段318地號","21.13","","鄉村區","乙種建築用地","1131108","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","2236500","105845","","0","0","未登記建物；","0","0","0","無"
"新竹市","土地","溪橋段117地號","887.23","","特定農業區","農牧用地","1131120","土地4建物0車位0","","","其他","","","","0","0","0","0","無","無","8000000","9017","","0","0","1.本案標的有三七五租約，為承租人行使優先購買權之買賣。","0","0","0","無"
