土地位置建物門牌(Geo),土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年,交易月,交易筆棟數,建物大於1,車位數,移轉層次,總樓層數,建物型態,主要用途,建築完成年,建築完成月,屋齡缺失,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易,電梯
台灣新竹市新竹市埔頂路２７６號,新竹市新竹市埔頂路２７６號,25.05,住,113,9,建物1車位0,0,0,全,二層,透天厝,工業用,71,12,0,41.7,5.9,3,2,2,無,290000,,0,0,1,無
台灣新竹市新竹市原興路１２８巷７７號,新竹市新竹市原興路１２８巷７７號,273.23,非,113,9,建物1車位0,0,0,全,一層,透天厝,農業用,70,1,0,43.8,21.75,5,1,3,無,6500000,,0,0,1,無
台灣新竹市新竹市西大路５８２巷１５弄２７號２樓之１,新竹市新竹市西大路５８２巷１５弄２７號２樓之１,3.88,商,113,10,建物1車位0,0,0,二層,六層,華廈,住家用,85,11,0,27.9,23.9,1,1,1,有,2700000,,0,0,0,有
台灣新竹市新竹市中華路四段７０５之２２號四樓,新竹市新竹市中華路四段７０５之２２號四樓,6.81,工,113,8,建物1車位0,0,0,四層,六層,華廈,住家用,96,6,0,17.2,26.03,1,0,1,有,1860000,,0,0,0,有
台灣新竹市新竹市中華路四段７０５之５號二樓,新竹市新竹市中華路四段７０５之５號二樓,6.81,工,113,7,建物1車位0,0,0,,六層,華廈,住家用,96,6,0,17.1,26.34,1,0,1,有,1850000,,0,0,0,有
台灣新竹市新竹市金山二十三街９３號五樓之５,新竹市新竹市金山二十三街９３號五樓之５,6.59,住,113,7,建物1車位0,0,0,五層,六層,華廈,住家用,94,11,0,18.6,27.84,1,1,1,有,6980000,,0,0,0,有
台灣新竹市新竹市牛埔南路１４２巷６號,新竹市新竹市牛埔南路１４２巷６號,89.75,住,113,9,建物1車位0,0,0,全,二層,透天厝,住家用,64,9,0,49,27.9,3,2,2,無,3600000,,0,0,1,無
台灣新竹市新竹市中華路四段７０５之２５號二樓,新竹市新竹市中華路四段７０５之２５號二樓,6.81,工,113,8,建物1車位0,0,0,,六層,華廈,住家用,96,6,0,17.2,28.32,1,1,1,有,1800000,,0,0,0,有
台灣新竹市新竹市中華路四段７０５之２６號二樓,新竹市新竹市中華路四段７０５之２６號二樓,6.81,工,113,8,建物1車位0,0,0,二層,六層,華廈,住家用,96,6,0,17.2,28.32,1,1,1,有,1900000,,0,0,0,有
台灣新竹市新竹市中華路四段７０５之５５號六樓,新竹市新竹市中華路四段７０５之５５號六樓,6.81,工,113,8,建物1車位0,0,0,六層,六層,華廈,住家用,96,6,0,17.2,28.37,1,0,1,有,1800000,,0,0,0,有
台灣新竹市新竹市中華路四段７０５之１０號二樓,新竹市新竹市中華路四段７０５之１０號二樓,6.81,工,113,11,建物1車位0,0,0,二層,六層,華廈,住家用,96,6,0,17.5,28.52,1,1,1,有,2120000,,0,0,0,有
