土地位置建物門牌(Geo),土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年,交易月,交易筆棟數,建物大於1,車位數,樓層比例,移轉層次,總樓層數,建物型態,是否透天,是否投資透天,主要用途,建築完成年,建築完成月,屋齡缺失,屋齡,建物移轉總面積平方公尺,是否毛胚,建物現況格局-房,有無管理組織,單價,總價元,車位類別,車位單價,車位總價元,特殊交易,電梯,latitude,longitude,與竹科距離_km
台灣新竹市新竹市埔頂路２７６號,新竹市新竹市埔頂路２７６號,25.05,住,113,9,建物1車位0,0,0,1.1,全,二層,透天厝,1,0,工業用,71,12,0,41.7,5.9,1,0,0,49152.54237,290000,無,0,0,1,0,24.7939435,121.0136561,1.572493233
台灣新竹市新竹市原興路１２８巷７７號,新竹市新竹市原興路１２８巷７７號,273.23,非,113,9,建物1車位0,0,0,1.1,全,一層,透天厝,1,0,農業用,70,1,0,43.8,21.75,1,0,0,298850.5747,6500000,無,0,0,1,0,24.8138287,120.9674798,5.278347115
台灣新竹市新竹市西大路５８２巷１５弄２７號２樓之１,新竹市新竹市西大路５８２巷１５弄２７號２樓之１,3.88,商,113,10,建物1車位0,0,0,0.333333333,2,6,華廈,0,0,住家用,85,11,0,27.9,23.9,0,1,1,112970.7113,2700000,無,0,0,0,1,24.807788,120.962003,5.305557134
台灣新竹市新竹市中華路四段７０５之２２號四樓,新竹市新竹市中華路四段７０５之２２號四樓,6.81,工,113,8,建物1車位0,0,0,0.666666667,4,6,華廈,0,0,住家用,96,6,0,17.2,26.03,0,1,1,71456.01229,1860000,無,0,0,0,1,24.78876,120.9300616,7.714515649
台灣新竹市新竹市中華路四段７０５之５號二樓,新竹市新竹市中華路四段７０５之５號二樓,6.81,工,113,7,建物1車位0,0,0,0.333333333,2,6,華廈,0,0,住家用,96,6,0,17.1,26.34,0,1,1,70235.38345,1850000,無,0,0,0,1,24.78876,120.9300616,7.714515649
台灣新竹市新竹市金山二十三街９３號五樓之５,新竹市新竹市金山二十三街９３號五樓之５,6.59,住,113,7,建物1車位0,0,0,0.833333333,5,6,華廈,0,0,住家用,94,11,0,18.6,27.84,0,1,1,250718.3908,6980000,無,0,0,0,1,24.7747295,121.0262756,2.192855819
台灣新竹市新竹市牛埔南路１４２巷６號,新竹市新竹市牛埔南路１４２巷６號,89.75,住,113,9,建物1車位0,0,0,1.1,全,二層,透天厝,1,0,住家用,64,9,0,49,27.9,1,0,0,129032.2581,3600000,無,0,0,1,0,24.7967849,120.939664,6.909978223
台灣新竹市新竹市中華路四段７０５之２５號二樓,新竹市新竹市中華路四段７０５之２５號二樓,6.81,工,113,8,建物1車位0,0,0,0.333333333,2,6,華廈,0,0,住家用,96,6,0,17.2,28.32,0,1,1,63559.32203,1800000,無,0,0,0,1,24.78876,120.9300616,7.714515649
台灣新竹市新竹市中華路四段７０５之２６號二樓,新竹市新竹市中華路四段７０５之２６號二樓,6.81,工,113,8,建物1車位0,0,0,0.333333333,2,6,華廈,0,0,住家用,96,6,0,17.2,28.32,0,1,1,67090.39548,1900000,無,0,0,0,1,24.78876,120.9300616,7.714515649
台灣新竹市新竹市中華路四段７０５之５５號六樓,新竹市新竹市中華路四段７０５之５５號六樓,6.81,工,113,8,建物1車位0,0,0,0.5,3,6,華廈,0,0,住家用,96,6,0,17.2,28.37,0,1,1,63447.30349,1800000,無,0,0,0,1,24.78876,120.9300616,7.714515649
