土地移轉總面積平方公尺,都市土地使用分區,交易年月,建物大於1,車位數,樓層比例,建物型態,是否透天,是否投資透天,主要用途,屋齡缺失,屋齡,建物移轉總面積平方公尺,是否毛胚,建物現況格局-房,有無管理組織,單價,總價元,車位類別,車位總價元,特殊交易,電梯,latitude,longitude,與竹科距離_km,mean_price_per_unit,high_price_decorated
25.05,住,11309,0,0,1.1,透天厝,1,0,工業用,0,41.7,5.9,1,0,0,49152.54237,290000,無,0,1,0,24.7939435,121.0136561,1.572493233,168578.4502,0
273.23,非,11309,0,0,1.1,透天厝,1,0,農業用,0,43.8,21.75,1,0,0,298850.5747,6500000,無,0,1,0,24.8138287,120.9674798,5.278347115,112453.7369,1
3.88,商,11310,0,0,0.333333333,華廈,0,0,住家用,0,27.9,23.9,0,1,1,112970.7113,2700000,無,0,0,1,24.807788,120.962003,5.305557134,116914.361,0
6.81,工,11308,0,0,0.666666667,華廈,0,0,住家用,0,17.2,26.03,0,1,1,71456.01229,1860000,無,0,0,1,24.78876,120.9300616,7.714515649,78028.28124,0
6.81,工,11307,0,0,0.333333333,華廈,0,0,住家用,0,17.1,26.34,0,1,1,70235.38345,1850000,無,0,0,1,24.78876,120.9300616,7.714515649,78028.28124,0
6.59,住,11307,0,0,0.833333333,華廈,0,0,住家用,0,18.6,27.84,0,1,1,250718.3908,6980000,無,0,0,1,24.7747295,121.0262756,2.192855819,149368.4896,1
89.75,住,11309,0,0,1.1,透天厝,1,0,住家用,0,49,27.9,1,0,0,129032.2581,3600000,無,0,1,0,24.7967849,120.939664,6.909978223,105322.045,1
6.81,工,11308,0,0,0.333333333,華廈,0,0,住家用,0,17.2,28.32,0,1,1,63559.32203,1800000,無,0,0,1,24.78876,120.9300616,7.714515649,78028.28124,0
6.81,工,11308,0,0,0.333333333,華廈,0,0,住家用,0,17.2,28.32,0,1,1,67090.39548,1900000,無,0,0,1,24.78876,120.9300616,7.714515649,78028.28124,0
6.81,工,11308,0,0,0.5,華廈,0,0,住家用,0,17.2,28.37,0,1,1,63447.30349,1800000,無,0,0,1,24.78876,120.9300616,7.714515649,78028.28124,0
6.81,工,11311,0,0,0.333333333,華廈,0,0,住家用,0,17.5,28.52,0,1,1,74333.80084,2120000,無,0,0,1,24.78876,120.9300616,7.714515649,78028.28124,0
6.81,工,11311,0,0,1,華廈,0,0,住家用,0,17.5,28.61,0,1,1,68507.51485,1960000,無,0,0,1,24.78876,120.9300616,7.714515649,78028.28124,0
3.16,住,11307,0,0,0.916666667,大樓,0,0,住家用,0,28.5,28.61,0,1,1,192240.4754,5500000,無,0,0,1,24.7964892,120.9988075,1.798789535,131909.4347,1
